"Table S3. Molecular formulas, point group symmetry, and common organic functional groups for the molecules in the GDB9-W1-F12 database. ",,,,Carbonyls,Hydroxyl,Ester (cyclic or acyclic),Nitrogens w/o hydrogens,,,Carbons w/o hydrogens,,,,,
dsgdb9nsd_000319,C5H8O,6,C1,0,1,0,0,0,0,1,1,3,0,0,
dsgdb9nsd_000320,C4H7NO,6,C1,0,1,0,1,0,0,1,0,3,0,0,
dsgdb9nsd_000321,C5H2O,6,C2,1,0,0,0,0,0,3,2,0,0,0,
dsgdb9nsd_000322,C4HNO,6,C1,1,0,0,1,0,0,3,1,0,0,0,
dsgdb9nsd_000323,C3N2O,6,C2V,1,0,0,2,0,0,3,0,0,0,0,
dsgdb9nsd_000324,C4H2O2,6,C1,2,0,0,0,0,0,2,2,0,0,0,
dsgdb9nsd_000325,C3HNO2,6,CS,2,0,0,1,0,0,2,1,0,0,0,
dsgdb9nsd_000326,C3H2O3,6,C1,3,0,0,0,0,0,1,2,0,0,0,
dsgdb9nsd_000327,C6H6,6,CS,0,0,0,0,0,0,2,3,0,1,0,
dsgdb9nsd_000328,C5H5N,6,C1,0,0,0,1,0,0,2,2,0,1,0,
dsgdb9nsd_000329,C4H4N2,6,CS,0,0,0,2,0,0,2,1,0,1,0,
dsgdb9nsd_000330,C4H4N2,6,C1,0,0,0,1,0,1,2,2,0,0,0,
dsgdb9nsd_000331,C3H3N3,6,C1,0,0,0,2,0,1,2,1,0,0,0,
dsgdb9nsd_000332,C5H4O,6,CS,0,1,0,0,0,0,2,3,0,0,0,
dsgdb9nsd_000333,C4H3NO,6,C1,0,1,0,1,0,0,2,2,0,0,0,
dsgdb9nsd_000334,C3H2N2O,6,CS,0,1,0,2,0,0,2,1,0,0,0,
dsgdb9nsd_000335,C5H6O,6,C1,1,0,0,0,0,0,1,3,0,1,0,
dsgdb9nsd_000336,C4H5NO,6,C1,1,0,0,1,0,0,1,2,0,1,0,
dsgdb9nsd_000337,C4H4O2,6,C1,1,1,0,0,0,0,1,3,0,0,0,
dsgdb9nsd_000338,C3H3NO2,6,C1,1,1,0,1,0,0,1,2,0,0,0,
dsgdb9nsd_000339,C4H6O2,6,C1,2,0,0,0,0,0,0,3,0,1,0,
dsgdb9nsd_000340,C3H6N2O,6,C1,1,0,0,1,1,0,0,2,0,1,0,
dsgdb9nsd_000341,C3H5NO2,6,C1,2,0,0,1,0,0,0,2,0,1,0,
dsgdb9nsd_000342,C3H4O3,6,C1,2,1,0,0,0,0,0,3,0,0,0,
dsgdb9nsd_000343,C3H5N3,6,C1,0,0,0,2,0,1,2,0,0,1,0,
dsgdb9nsd_000344,C3H6N2O,6,C1,1,0,0,1,0,1,1,1,0,1,0,
dsgdb9nsd_000345,C5H6O,6,C1,1,0,0,0,0,0,2,1,1,1,0,
dsgdb9nsd_000346,C4H5NO,6,C1,1,0,0,1,0,0,2,0,1,1,0,
dsgdb9nsd_000347,C3H5N3,6,C1,0,0,0,1,2,0,2,0,0,1,0,
dsgdb9nsd_000348,C4H5NO,6,C1,1,0,0,0,1,0,2,1,0,1,0,
dsgdb9nsd_000349,C4H4O2,6,C1,1,0,1,0,0,0,2,1,0,1,0,
dsgdb9nsd_000350,C3H3NO2,6,C1,1,0,1,1,0,0,2,0,0,1,0,
dsgdb9nsd_000351,C4H4O2,6,C1,1,1,0,0,0,0,2,1,1,0,0,
dsgdb9nsd_000352,C3H3NO2,6,C1,1,1,0,1,0,0,2,0,1,0,0,
dsgdb9nsd_000354,C3H6N2O,6,C1,1,0,0,0,2,0,1,1,0,1,0,
dsgdb9nsd_000355,C3H5NO2,6,C1,2,0,0,0,1,0,1,1,0,1,0,
dsgdb9nsd_000356,C3H4O3,6,C1,2,0,1,0,0,0,1,1,0,1,0,
dsgdb9nsd_000357,C3H4O3,6,C1,2,1,0,0,0,0,1,1,1,0,0,
dsgdb9nsd_000358,C5H10O,6,C2,1,0,0,0,0,0,1,0,2,2,0,
dsgdb9nsd_000359,C4H8O2,6,C1,1,1,0,0,0,0,1,0,2,1,0,
dsgdb9nsd_000360,C4H9NO,6,C1,1,0,0,0,1,0,1,0,1,2,0,
dsgdb9nsd_000361,C4H8O2,6,C1,1,0,1,0,0,0,1,0,1,2,0,
dsgdb9nsd_000362,C3H7NO2,6,C1,1,1,0,0,1,0,1,0,1,1,0,
dsgdb9nsd_000363,C3H8N2O,6,C1,1,0,0,0,2,0,1,0,0,2,0,
dsgdb9nsd_000364,C3H7NO2,6,C1,1,0,1,0,1,0,1,0,0,2,0,
dsgdb9nsd_000365,C3H7NO2,6,C1,1,0,1,0,0,1,1,0,1,1,0,
dsgdb9nsd_000366,C3H6O3,6,C1,1,1,1,0,0,0,1,0,1,1,0,
dsgdb9nsd_000367,C3H6O3,6,C2,1,2,0,0,0,0,1,0,2,0,0,
dsgdb9nsd_000369,C5H8O,6,C1,0,1,0,0,0,0,1,2,1,1,0,
dsgdb9nsd_000370,C4H7NO,6,C1,0,1,0,1,0,0,1,1,1,1,0,
dsgdb9nsd_000371,C6H10,6,C1,0,0,0,0,0,0,1,2,1,2,0,
dsgdb9nsd_000372,C5H9N,6,C1,0,0,0,1,0,0,1,1,1,2,0,
dsgdb9nsd_000373,C4H8N2,6,C1,0,0,0,1,0,1,1,1,1,1,0,
dsgdb9nsd_000374,C5H8O,6,C1,0,1,0,0,0,0,1,2,1,1,0,
dsgdb9nsd_000376,C4H8N2,6,C1,0,0,0,1,1,0,1,1,0,2,0,
dsgdb9nsd_000377,C5H8O,6,C1,0,0,1,0,0,0,1,2,0,2,0,
dsgdb9nsd_000378,C4H7NO,6,C1,0,0,1,1,0,0,1,1,0,2,0,
dsgdb9nsd_000379,C3H6N2O,6,C1,0,1,0,1,0,1,1,1,1,0,0,
dsgdb9nsd_000380,C3H7N3,6,C1,0,0,0,1,0,2,1,1,1,0,0,
dsgdb9nsd_000381,C3H6N2O,6,C1,0,1,0,1,0,1,1,1,1,0,0,
dsgdb9nsd_000382,C4H6O2,6,C1,0,2,0,0,0,0,1,2,1,0,0,
dsgdb9nsd_000383,C3H5NO2,6,C1,0,2,0,1,0,0,1,1,1,0,0,
dsgdb9nsd_000384,C4H8O2,6,C1,1,1,0,0,0,0,0,2,1,1,0,
dsgdb9nsd_000385,C5H10O,6,C1,1,0,0,0,0,0,0,2,1,2,0,
dsgdb9nsd_000386,C4H8O2,6,C1,1,1,0,0,0,0,0,2,1,1,0,
dsgdb9nsd_000387,C4H9NO,6,C1,1,0,0,1,0,0,0,1,1,2,0,
dsgdb9nsd_000388,C4H8O2,6,C1,1,0,1,0,0,0,0,2,0,2,0,
dsgdb9nsd_000389,C3H6O3,6,C1,1,2,0,0,0,0,0,2,1,0,0,
dsgdb9nsd_000390,C4H10O2,6,C1,0,2,0,0,0,0,0,1,2,1,0,
dsgdb9nsd_000391,C6H14,6,C1,0,0,0,0,0,0,0,1,2,3,0,
dsgdb9nsd_000392,C5H12O,6,C1,0,1,0,0,0,0,0,1,2,2,0,
dsgdb9nsd_000393,C5H12O,6,C1,0,0,1,0,0,0,0,1,1,3,0,
dsgdb9nsd_000394,C5H12O,6,C1,0,1,0,0,0,0,0,1,2,2,0,
dsgdb9nsd_000395,C4H10O2,6,C1,0,2,0,0,0,0,0,1,2,1,0,
dsgdb9nsd_000397,C3H8O3,6,CS,0,3,0,0,0,0,0,1,2,0,0,
dsgdb9nsd_000398,C6H8,6,C1,0,0,0,0,0,0,2,1,2,1,0,
dsgdb9nsd_000399,C5H7N,6,C1,0,0,0,1,0,0,2,0,2,1,0,
dsgdb9nsd_000400,C5H7N,6,C1,0,0,0,0,1,0,2,1,1,1,0,
dsgdb9nsd_000401,C4H6N2,6,C1,0,0,0,1,1,0,2,0,1,1,0,
dsgdb9nsd_000402,C5H6O,6,C1,0,0,1,0,0,0,2,1,1,1,0,
dsgdb9nsd_000403,C4H5NO,6,C1,0,0,1,1,0,0,2,0,1,1,0,
dsgdb9nsd_000404,C4H6N2,6,C1,0,0,0,1,0,1,2,0,2,0,0,
dsgdb9nsd_000405,C5H6O,6,C1,0,1,0,0,0,0,2,1,2,0,0,
dsgdb9nsd_000406,C4H5NO,6,C1,0,1,0,1,0,0,2,0,2,0,0,
dsgdb9nsd_000407,C5H8O,6,C1,1,0,0,0,0,0,1,1,2,1,0,
dsgdb9nsd_000408,C4H7NO,6,C1,1,0,0,0,1,0,1,1,1,1,0,
dsgdb9nsd_000409,C4H6O2,6,C1,1,0,1,0,0,0,1,1,1,1,0,
dsgdb9nsd_000410,C4H6O2,6,C1,1,1,0,0,0,0,1,1,2,0,0,
dsgdb9nsd_000411,C5H10O,6,C1,0,1,0,0,0,0,1,0,3,1,0,
dsgdb9nsd_000412,C4H9NO,6,C1,0,1,0,0,1,0,1,0,2,1,0,
dsgdb9nsd_000413,C4H8O2,6,C1,0,1,1,0,0,0,1,0,2,1,0,
dsgdb9nsd_000414,C6H12,6,C1,0,0,0,0,0,0,1,0,3,2,0,
dsgdb9nsd_000415,C5H10O,6,C1,0,0,1,0,0,0,1,0,2,2,0,
dsgdb9nsd_000416,C5H10O,6,C1,0,1,0,0,0,0,1,0,3,1,0,
dsgdb9nsd_000417,C5H10O,6,C1,0,0,1,0,0,0,1,0,2,2,0,
dsgdb9nsd_000418,C4H8O2,6,C1,0,2,0,0,0,0,1,0,3,0,0,
dsgdb9nsd_000419,C5H8O,6,C1,1,0,0,0,0,0,1,1,2,1,0,
dsgdb9nsd_000420,C4H7NO,6,C1,1,0,0,0,1,0,1,1,1,1,0,
dsgdb9nsd_000421,C4H7NO,6,C1,0,0,1,0,1,0,1,1,1,1,0,
dsgdb9nsd_000422,C4H6O2,6,C1,1,0,1,0,0,0,1,1,1,1,0,
dsgdb9nsd_000423,C4H7NO,6,C1,1,0,0,0,1,0,1,1,1,1,0,
dsgdb9nsd_000424,C4H6O2,6,C1,1,0,1,0,0,0,1,1,1,1,0,
dsgdb9nsd_000425,C4H7NO,6,C1,1,0,0,1,0,0,1,0,2,1,0,
dsgdb9nsd_000426,C3H6N2O,6,C1,0,0,1,0,1,1,1,1,1,0,0,
dsgdb9nsd_000427,C3H5NO2,6,C1,1,0,1,0,0,1,1,1,1,0,0,
dsgdb9nsd_000428,C4H6O2,6,C1,1,1,0,0,0,0,1,1,2,0,0,
dsgdb9nsd_000429,C3H5NO2,6,C1,1,1,0,0,1,0,1,1,1,0,0,
dsgdb9nsd_000430,C3H5NO2,6,C1,0,1,1,0,1,0,1,1,1,0,0,
dsgdb9nsd_000431,C3H4O3,6,C1,1,1,1,0,0,0,1,1,1,0,0,
dsgdb9nsd_000432,C6H12,6,C1,0,0,0,0,0,0,0,2,2,2,0,
dsgdb9nsd_000433,C5H10O,6,C1,0,1,0,0,0,0,0,2,2,1,0,
dsgdb9nsd_000434,C5H10O,6,C1,0,0,1,0,0,0,0,2,1,2,0,
dsgdb9nsd_000435,C4H8O2,6,C1,0,1,1,0,0,0,0,2,1,1,0,
dsgdb9nsd_000436,C4H8O2,6,C1,0,2,0,0,0,0,0,2,2,0,0,
dsgdb9nsd_000437,C3H5N3,6,C1,0,0,0,1,2,0,1,1,1,0,0,
dsgdb9nsd_000438,C5H6O,6,CS,1,0,0,0,0,0,1,2,2,0,0,
dsgdb9nsd_000439,C4H5NO,6,C1,1,0,0,0,1,0,1,2,1,0,0,
dsgdb9nsd_000440,C3H4N2O,6,CS,1,0,0,1,1,0,1,1,1,0,0,
dsgdb9nsd_000441,C3H3NO2,6,CS,1,0,1,1,0,0,1,1,1,0,0,
dsgdb9nsd_000442,C4H5NO,6,CS,0,0,1,0,1,0,1,2,1,0,0,
dsgdb9nsd_000443,C5H6O,6,C1,1,0,0,0,0,0,1,2,2,0,0,
dsgdb9nsd_000444,C4H5NO,6,C1,1,0,0,0,1,0,1,2,1,0,0,
dsgdb9nsd_000445,C4H7NO,6,C1,0,0,1,0,1,0,1,0,3,0,0,
dsgdb9nsd_000446,C3H5NO2,6,C1,0,0,2,0,1,0,1,0,2,0,0,
dsgdb9nsd_000447,C3H5NO2,6,C1,0,0,2,0,1,0,1,0,2,0,0,
dsgdb9nsd_000448,C5H8O,6,C1,1,0,0,0,0,0,1,0,4,0,0,
dsgdb9nsd_000449,C4H7NO,6,C1,1,0,0,0,1,0,1,0,3,0,0,
dsgdb9nsd_000450,C4H6O2,6,C1,1,0,1,0,0,0,1,0,3,0,0,
dsgdb9nsd_000451,C4H6O2,6,C1,1,0,1,0,0,0,1,0,3,0,0,
dsgdb9nsd_000452,C3H4O3,6,C1,1,0,2,0,0,0,1,0,2,0,0,
dsgdb9nsd_000453,C3H6N2O,6,C2,1,0,0,0,2,0,1,0,2,0,0,
dsgdb9nsd_000454,C3H5NO2,6,C1,1,0,1,0,1,0,1,0,2,0,0,
dsgdb9nsd_000455,C3H4O3,6,C2,1,0,2,0,0,0,1,0,2,0,0,
dsgdb9nsd_000456,C6H10,6,C1,0,0,0,0,0,0,1,1,3,1,0,
dsgdb9nsd_000457,C5H8O,6,C1,0,0,1,0,0,0,1,1,2,1,0,
dsgdb9nsd_000458,C4H7NO,6,C1,0,0,1,1,0,0,1,0,2,1,0,
dsgdb9nsd_000459,C6H10,6,CS,0,0,0,0,0,0,0,3,2,1,0,
dsgdb9nsd_000460,C4H7NO,6,C1,0,0,1,1,0,0,0,2,1,1,0,
dsgdb9nsd_000461,C5H8O,6,CS,0,1,0,0,0,0,0,3,2,0,0,
dsgdb9nsd_000462,C6H10,6,C1,0,0,0,0,0,0,0,3,2,1,0,
dsgdb9nsd_000463,C4H7NO,6,C1,0,0,1,1,0,0,0,2,1,1,0,
dsgdb9nsd_000464,C5H8O,6,C1,0,0,1,0,0,0,0,3,1,1,0,
dsgdb9nsd_000465,C5H8O,6,C1,0,1,0,0,0,0,0,3,2,0,0,
dsgdb9nsd_000466,C6H12,6,C1,0,0,0,0,0,0,0,1,4,1,0,
dsgdb9nsd_000467,C5H10O,6,C1,0,0,1,0,0,0,0,1,3,1,0,
dsgdb9nsd_000468,C5H10O,6,C1,0,0,1,0,0,0,0,1,3,1,0,
dsgdb9nsd_000469,C4H8O2,6,C1,0,0,2,0,0,0,0,1,2,1,0,
dsgdb9nsd_000470,C4H8O2,6,C1,0,0,2,0,0,0,0,1,2,1,0,
dsgdb9nsd_000471,C5H10O,6,C1,0,1,0,0,0,0,0,1,4,0,0,
dsgdb9nsd_000472,C4H8O2,6,C1,0,1,1,0,0,0,0,1,3,0,0,
dsgdb9nsd_000473,C6H12,6,C1,0,0,0,0,0,0,0,3,0,3,0,
dsgdb9nsd_000474,C5H10O,6,C1,0,1,0,0,0,0,0,3,0,2,0,
dsgdb9nsd_000475,C5H11N,6,C1,0,0,0,1,0,0,0,2,0,3,0,
dsgdb9nsd_000476,C4H8O2,6,C1,0,2,0,0,0,0,0,3,0,1,0,
dsgdb9nsd_000477,C3H6O3,6,C1,0,3,0,0,0,0,0,3,0,0,0,
dsgdb9nsd_000478,C6H10,6,C1,0,0,0,0,0,0,1,1,3,1,0,
dsgdb9nsd_000479,C5H8O,6,C1,0,0,1,0,0,0,1,1,2,1,0,
dsgdb9nsd_000480,C5H8O,6,C1,0,0,1,0,0,0,1,1,2,1,0,
dsgdb9nsd_000481,C5H8O,6,C1,0,0,1,0,0,0,1,1,2,1,0,
dsgdb9nsd_000482,C5H8O,6,C1,0,1,0,0,0,0,1,1,3,0,0,
dsgdb9nsd_000483,C4H6O2,6,C1,0,1,1,0,0,0,1,1,2,0,0,
dsgdb9nsd_000485,C5HN,6,C*V,0,0,0,1,0,0,4,1,0,0,0,
dsgdb9nsd_000486,C4N2,6,D*H,0,0,0,2,0,0,4,0,0,0,0,
dsgdb9nsd_000487,C6H6,6,C1,0,0,0,0,0,0,2,2,2,0,0,
dsgdb9nsd_000488,C5H5N,6,C1,0,0,0,1,0,0,2,1,2,0,0,
dsgdb9nsd_000489,C4H4N2,6,C1,0,0,0,2,0,0,2,0,2,0,0,
dsgdb9nsd_000490,C5H2O,6,C1,1,0,0,0,0,0,3,2,0,0,0,
dsgdb9nsd_000491,C4HNO,6,C1,1,0,0,1,0,0,3,1,0,0,0,
dsgdb9nsd_000492,C4H2O2,6,C1,2,0,0,0,0,0,2,2,0,0,0,
dsgdb9nsd_000493,C4H5NO,6,C1,0,0,1,0,1,0,1,2,1,0,0,
dsgdb9nsd_000494,C3H4N2O,6,C1,0,0,1,1,1,0,1,1,1,0,0,
dsgdb9nsd_000495,C5H6O,6,C1,1,0,0,0,0,0,1,2,2,0,0,
dsgdb9nsd_000496,C4H5NO,6,C1,1,0,0,1,0,0,1,1,2,0,0,
dsgdb9nsd_000497,C4H5NO,6,C1,1,0,0,0,1,0,1,2,1,0,0,
dsgdb9nsd_000498,C3H4N2O,6,C1,1,0,0,1,1,0,1,1,1,0,0,
dsgdb9nsd_000499,C4H4O2,6,C1,1,0,1,0,0,0,1,2,1,0,0,
dsgdb9nsd_000500,C3H3NO2,6,C1,1,0,1,1,0,0,1,1,1,0,0,
dsgdb9nsd_000501,C3H5NO2,6,C1,1,0,1,0,1,0,0,2,1,0,0,
dsgdb9nsd_000502,C4H6O2,6,CI,2,0,0,0,0,0,0,2,2,0,0,
dsgdb9nsd_000503,C3H5NO2,6,C1,2,0,0,0,1,0,0,2,1,0,0,
dsgdb9nsd_000504,C3H4O3,6,C1,2,0,1,0,0,0,0,2,1,0,0,
dsgdb9nsd_000505,C6H6,6,C2,0,0,0,0,0,0,4,0,0,2,0,
dsgdb9nsd_000507,C5H5N,6,C1,0,0,0,1,0,0,3,0,1,1,0,
dsgdb9nsd_000508,C5H6O,6,C1,1,0,0,0,0,0,2,1,1,1,0,
dsgdb9nsd_000509,C3H6N2O,6,C1,1,0,0,1,1,0,0,2,0,1,0,
dsgdb9nsd_000510,C3H5NO2,6,C1,1,0,1,1,0,0,0,2,0,1,0,
dsgdb9nsd_000511,C6H6,6,C1,0,0,0,0,0,0,3,1,1,1,0,
dsgdb9nsd_000512,C5H5N,6,C1,0,0,0,1,0,0,3,0,1,1,0,
dsgdb9nsd_000513,C5H4O,6,C1,0,1,0,0,0,0,3,1,1,0,0,
dsgdb9nsd_000514,C4H3NO,6,C1,0,1,0,1,0,0,3,0,1,0,0,
dsgdb9nsd_000515,C5H6O,6,C1,1,0,0,0,0,0,2,1,1,1,0,
dsgdb9nsd_000516,C4H4O2,6,C1,1,1,0,0,0,0,2,1,1,0,0,
dsgdb9nsd_000517,C6H10,6,C1,0,0,0,0,0,0,2,0,2,2,0,
dsgdb9nsd_000518,C5H8O,6,C1,0,1,0,0,0,0,2,0,2,1,0,
dsgdb9nsd_000519,C4H6O2,6,C1,0,2,0,0,0,0,2,0,2,0,0,
dsgdb9nsd_000520,C4H9NO,6,C1,0,0,1,1,0,0,0,1,1,2,0,
dsgdb9nsd_000521,C5H8O,6,C1,0,1,0,0,0,0,2,0,2,1,0,
dsgdb9nsd_000522,C6H10,6,CS,0,0,0,0,0,0,2,0,2,2,0,
dsgdb9nsd_000523,C5H8O,6,C1,0,0,1,0,0,0,2,0,1,2,0,
dsgdb9nsd_000524,C4H9NO,6,C1,0,0,1,1,0,0,0,1,1,2,0,
dsgdb9nsd_000525,C6H10,6,C1,0,0,0,0,0,0,1,1,3,1,0,
dsgdb9nsd_000526,C5H9N,6,C1,0,0,0,1,0,0,1,0,3,1,0,
dsgdb9nsd_000527,C4H8N2,6,C1,0,0,0,1,1,0,1,0,2,1,0,
dsgdb9nsd_000528,C5H8O,6,C1,0,0,1,0,0,0,1,1,2,1,0,
dsgdb9nsd_000529,C4H7NO,6,C1,0,0,1,1,0,0,1,0,2,1,0,
dsgdb9nsd_000530,C5H8O,6,C1,0,0,1,0,0,0,1,1,2,1,0,
dsgdb9nsd_000531,C4H7NO,6,C1,0,0,1,1,0,0,1,0,2,1,0,
dsgdb9nsd_000532,C5H8O,6,C1,0,1,0,0,0,0,1,1,3,0,0,
dsgdb9nsd_000533,C4H7NO,6,C1,0,1,0,1,0,0,1,0,3,0,0,
dsgdb9nsd_000534,C5H10O,6,C1,1,0,0,0,0,0,0,1,3,1,0,
dsgdb9nsd_000535,C4H9NO,6,C1,1,0,0,0,1,0,0,1,2,1,0,
dsgdb9nsd_000536,C4H8O2,6,C1,1,0,1,0,0,0,0,1,2,1,0,
dsgdb9nsd_000537,C4H8O2,6,C1,1,0,1,0,0,0,0,1,2,1,0,
dsgdb9nsd_000538,C4H8O2,6,C1,1,0,1,0,0,0,0,1,2,1,0,
dsgdb9nsd_000539,C4H8O2,6,C1,1,1,0,0,0,0,0,1,3,0,0,
dsgdb9nsd_000540,C3H7NO2,6,C1,1,1,0,0,1,0,0,1,2,0,0,
dsgdb9nsd_000541,C3H7NO2,6,C1,0,1,1,0,1,0,0,1,2,0,0,
dsgdb9nsd_000542,C3H6O3,6,C1,1,1,1,0,0,0,0,1,2,0,0,
dsgdb9nsd_000543,C6H14,6,C2H,0,0,0,0,0,0,0,0,4,2,0,
dsgdb9nsd_000544,C5H12O,6,CS,0,1,0,0,0,0,0,0,4,1,0,
dsgdb9nsd_000545,C5H12O,6,C1,0,0,1,0,0,0,0,0,3,2,0,
dsgdb9nsd_000546,C5H12O,6,C1,0,0,1,0,0,0,0,0,3,2,0,
dsgdb9nsd_000547,C4H10O2,6,C1,0,1,1,0,0,0,0,0,3,1,0,
dsgdb9nsd_000548,C4H10O2,6,C1,0,1,1,0,0,0,0,0,3,1,0,
dsgdb9nsd_000549,C4H10O2,6,C1,0,0,2,0,0,0,0,0,2,2,0,
dsgdb9nsd_000550,C4H10O2,6,CI,0,2,0,0,0,0,0,0,4,0,0,
dsgdb9nsd_000551,C6H8,6,C1,0,0,0,0,0,0,1,2,3,0,0,
dsgdb9nsd_000552,C5H6O,6,C1,0,0,1,0,0,0,1,2,2,0,0,
dsgdb9nsd_000553,C5H6O,6,CS,0,0,1,0,0,0,1,2,2,0,0,
dsgdb9nsd_000554,C5H7N,6,C1,0,0,0,1,0,0,1,1,3,0,0,
dsgdb9nsd_000555,C4H6N2,6,C1,0,0,0,1,1,0,1,1,2,0,0,
dsgdb9nsd_000556,C4H5NO,6,C1,0,0,1,1,0,0,1,1,2,0,0,
dsgdb9nsd_000557,C4H5NO,6,CS,0,0,1,1,0,0,1,1,2,0,0,
dsgdb9nsd_000558,C5H8O,6,C1,1,0,0,0,0,0,0,2,3,0,0,
dsgdb9nsd_000559,C4H6O2,6,C1,1,0,1,0,0,0,0,2,2,0,0,
dsgdb9nsd_000560,C4H6O2,6,C1,1,0,1,0,0,0,0,2,2,0,0,
dsgdb9nsd_000561,C4H7NO,6,C1,1,0,0,1,0,0,0,1,3,0,0,
dsgdb9nsd_000562,C4H7NO,6,C1,0,0,1,1,0,0,1,0,2,1,0,
dsgdb9nsd_000563,C6H12,6,C1,0,0,0,0,0,0,0,1,4,1,0,
dsgdb9nsd_000564,C5H10O,6,C1,0,0,1,0,0,0,0,1,3,1,0,
dsgdb9nsd_000565,C5H10O,6,C1,0,0,1,0,0,0,0,1,3,1,0,
dsgdb9nsd_000566,C5H10O,6,C1,0,0,1,0,0,0,0,1,3,1,0,
dsgdb9nsd_000567,C4H8O2,6,C1,0,0,2,0,0,0,0,1,2,1,0,
dsgdb9nsd_000568,C5H10O,6,C1,0,1,0,0,0,0,0,1,4,0,0,
dsgdb9nsd_000569,C4H8O2,6,C1,0,1,1,0,0,0,0,1,3,0,0,
dsgdb9nsd_000570,C4H8O2,6,C1,0,1,1,0,0,0,0,1,3,0,0,
dsgdb9nsd_000571,C6H8,6,C1,0,0,0,0,0,0,1,2,3,0,0,
dsgdb9nsd_000572,C5H6O,6,C1,0,0,1,0,0,0,1,2,2,0,0,
dsgdb9nsd_000573,C5H7N,6,C1,0,0,0,1,0,0,1,1,3,0,0,
dsgdb9nsd_000574,C5H7N,6,C1,0,0,0,1,0,0,1,1,3,0,0,
dsgdb9nsd_000575,C4H6N2,6,C1,0,0,0,1,1,0,1,1,2,0,0,
dsgdb9nsd_000576,C4H5NO,6,C1,0,0,1,1,0,0,1,1,2,0,0,
dsgdb9nsd_000577,C4H6N2,6,C1,0,0,0,2,0,0,1,0,3,0,0,
dsgdb9nsd_000578,C4H7NO,6,C1,0,0,1,0,1,0,0,2,2,0,0,
dsgdb9nsd_000579,C5H8O,6,C1,1,0,0,0,0,0,0,2,3,0,0,
dsgdb9nsd_000580,C4H7NO,6,C1,1,0,0,0,1,0,0,2,2,0,0,
dsgdb9nsd_000581,C4H6O2,6,C1,1,0,1,0,0,0,0,2,2,0,0,
dsgdb9nsd_000582,C4H7NO,6,C1,1,0,0,1,0,0,0,1,3,0,0,
dsgdb9nsd_000583,C4H7NO,6,C1,1,0,0,0,1,0,0,2,2,0,0,
dsgdb9nsd_000584,C4H6O2,6,C1,1,0,1,0,0,0,0,2,2,0,0,
dsgdb9nsd_000585,C6H8,6,C1,0,0,0,0,0,0,2,1,2,1,0,
dsgdb9nsd_000586,C5H7N,6,C1,0,0,0,0,1,0,2,1,1,1,0,
dsgdb9nsd_000587,C5H6O,6,C1,0,0,1,0,0,0,2,1,1,1,0,
dsgdb9nsd_000588,C6H12,6,C1,0,0,0,0,0,0,0,1,4,1,0,
dsgdb9nsd_000589,C5H10O,6,C1,0,0,1,0,0,0,0,1,3,1,0,
dsgdb9nsd_000590,C5H11N,6,C1,0,0,0,1,0,0,0,0,4,1,0,
dsgdb9nsd_000591,C5H10O,6,C1,0,0,1,0,0,0,0,1,3,1,0,
dsgdb9nsd_000592,C5H10O,6,C1,0,0,1,0,0,0,0,1,3,1,0,
dsgdb9nsd_000593,C4H9NO,6,C1,0,0,1,0,1,0,0,1,2,1,0,
dsgdb9nsd_000594,C4H8O2,6,C1,0,0,2,0,0,0,0,1,2,1,0,
dsgdb9nsd_000595,C5H10O,6,C1,0,1,0,0,0,0,0,1,4,0,0,
dsgdb9nsd_000596,C4H8O2,6,C1,0,1,1,0,0,0,0,1,3,0,0,
dsgdb9nsd_000598,C6H8,6,C1,0,0,0,0,0,0,1,3,1,1,0,
dsgdb9nsd_000599,C5H7N,6,C1,0,0,0,1,0,0,1,2,1,1,0,
dsgdb9nsd_000600,C5H7N,6,C1,0,0,0,0,1,0,1,3,0,1,0,
dsgdb9nsd_000601,C4H6N2,6,C1,0,0,0,1,1,0,1,2,0,1,0,
dsgdb9nsd_000602,C5H6O,6,C1,0,0,1,0,0,0,1,3,0,1,0,
dsgdb9nsd_000603,C4H5NO,6,C1,0,0,1,1,0,0,1,2,0,1,0,
dsgdb9nsd_000604,C5H7N,6,C1,0,0,0,1,0,0,1,2,1,1,0,
dsgdb9nsd_000605,C4H6N2,6,C1,0,0,0,2,0,0,1,1,1,1,0,
dsgdb9nsd_000606,C5H6O,6,C1,0,1,0,0,0,0,1,3,1,0,0,
dsgdb9nsd_000607,C4H5NO,6,C1,0,1,0,1,0,0,1,2,1,0,0,
dsgdb9nsd_000608,C5H8O,6,C1,1,0,0,0,0,0,0,3,1,1,0,
dsgdb9nsd_000609,C4H7NO,6,C1,1,0,0,1,0,0,0,2,1,1,0,
dsgdb9nsd_000610,C4H7NO,6,C1,1,0,0,0,1,0,0,3,0,1,0,
dsgdb9nsd_000611,C4H6O2,6,C1,1,0,1,0,0,0,0,3,0,1,0,
dsgdb9nsd_000612,C4H7NO,6,C1,1,0,0,1,0,0,0,2,1,1,0,
dsgdb9nsd_000613,C4H6O2,6,C1,1,1,0,0,0,0,0,3,1,0,0,
dsgdb9nsd_000614,C5H10O,6,C1,0,1,0,0,0,0,0,2,2,1,0,
dsgdb9nsd_000615,C4H9NO,6,C1,0,1,0,0,1,0,0,2,1,1,0,
dsgdb9nsd_000616,C4H8O2,6,C1,0,1,1,0,0,0,0,2,1,1,0,
